[2024-01-31T14:54:18Z DEBUG ytest2] BASE /// GeometryDash.exe 0x470000
[2024-01-31T14:54:18Z DEBUG ytest2] BASE /// libcocos2d.dll 0x66c60000
[2024-01-31T14:54:18Z DEBUG ytest2] BASE /// libExtensions.dll 0x73840000
[2024-01-31T14:54:18Z DEBUG ytest2] BASE /// msvcr120.dll 0x67160000
[2024-01-31T14:54:18Z DEBUG ytest2] BASE /// zlib1.dll 0x5a4c0000
[2024-01-31T14:54:18Z DEBUG ytest2] BASE /// mimalloc.dll 0x734d0000
[2024-01-31T14:54:18Z DEBUG ytest2] BASE /// ybot.dll 0x61ea0000
[2024-01-31T14:54:18Z DEBUG ytest2] yBot 2.1.30-stable
[2024-01-31T14:54:18Z INFO  ytest2::updater] checking for updates
[2024-01-31T14:54:18Z DEBUG reqwest::connect] starting new connection: https://ybot.store/
[2024-01-31T14:54:19Z INFO  ytest2::updater] updating
[2024-01-31T14:54:19Z INFO  ytest2::updater] yBot is up-to-date
[2024-01-31T14:54:22Z DEBUG egui_glow::painter] 
    opengl version: 4.6.0 - Build 30.0.101.1340
    opengl renderer: Intel(R) UHD Graphics 600
    opengl vendor: Intel
[2024-01-31T14:54:22Z DEBUG egui_glow::shader_version] Shader version: Gl140 ("4.60 - Build 30.0.101.1340").
[2024-01-31T14:54:22Z DEBUG egui_glow::painter] Shader header: "#version 140\n".
[2024-01-31T14:54:22Z DEBUG egui_glow::painter] SRGB texture Support: true
[2024-01-31T14:54:23Z DEBUG egui_glow::vao] GL version: "4.6.0 - Build 30.0.101.1340".
now recording "and-ever"
[2024-01-31T15:03:55Z DEBUG ytest2::hooks] entered level
[2024-01-31T15:03:57Z DEBUG ytest2::hooks::reset_level_orig] initializing level
[2024-01-31T15:04:09Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7de000
[2024-01-31T15:04:10Z DEBUG ytest2::hooks] destructing checkpoint 0xb7dd400
[2024-01-31T15:04:11Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7de000
[2024-01-31T15:04:12Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7de000
[2024-01-31T15:04:13Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7dd400
[2024-01-31T15:04:15Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7dd400
[2024-01-31T15:04:16Z DEBUG ytest2::checkpoint] applying checkpoint 0xbfc4800
[2024-01-31T15:04:18Z INFO  ytest2::hooks] exited level
[2024-01-31T15:04:22Z DEBUG ytest2::hooks] entered level
[2024-01-31T15:04:23Z DEBUG ytest2::hooks::reset_level_orig] initializing level
[2024-01-31T15:04:30Z DEBUG ytest2::checkpoint] applying checkpoint 0x21102400
[2024-01-31T15:04:32Z DEBUG ytest2::checkpoint] applying checkpoint 0x21101800
[2024-01-31T15:04:33Z DEBUG ytest2::hooks] destructing checkpoint 0x21101800
[2024-01-31T15:04:33Z DEBUG ytest2::checkpoint] applying checkpoint 0x21103000
[2024-01-31T15:04:35Z DEBUG ytest2::checkpoint] applying checkpoint 0x21103000
[2024-01-31T15:04:37Z DEBUG ytest2::checkpoint] applying checkpoint 0x21101800
[2024-01-31T15:04:38Z DEBUG ytest2::checkpoint] applying checkpoint 0x21101800
[2024-01-31T15:04:41Z DEBUG ytest2::checkpoint] applying checkpoint 0x21106c00
[2024-01-31T15:04:42Z DEBUG ytest2::checkpoint] applying checkpoint 0x21106000
[2024-01-31T15:04:44Z DEBUG ytest2::checkpoint] applying checkpoint 0x21106000
[2024-01-31T15:04:46Z DEBUG ytest2::checkpoint] applying checkpoint 0x21103c00
[2024-01-31T15:04:47Z DEBUG ytest2::hooks] destructing checkpoint 0xb7dd400
[2024-01-31T15:04:48Z DEBUG ytest2::checkpoint] applying checkpoint 0x21103c00
[2024-01-31T15:04:50Z DEBUG ytest2::hooks] destructing checkpoint 0xb7dd400
[2024-01-31T15:04:50Z DEBUG ytest2::checkpoint] applying checkpoint 0x21103c00
[2024-01-31T15:04:51Z DEBUG ytest2::checkpoint] applying checkpoint 0x21103c00
[2024-01-31T15:04:54Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7dd400
[2024-01-31T15:04:55Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7dd400
[2024-01-31T15:04:57Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7dd400
[2024-01-31T15:04:58Z DEBUG ytest2::hooks] destructing checkpoint 0xb7de000
[2024-01-31T15:04:58Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7dd400
[2024-01-31T15:04:59Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7dd400
[2024-01-31T15:05:01Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7de000
[2024-01-31T15:05:02Z DEBUG ytest2::hooks] destructing checkpoint 0xb7dec00
[2024-01-31T15:05:02Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7de000
[2024-01-31T15:05:04Z DEBUG ytest2::hooks] destructing checkpoint 0xb7dec00
[2024-01-31T15:05:04Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7de000
[2024-01-31T15:05:07Z DEBUG ytest2::hooks] destructing checkpoint 0xb8f8000
[2024-01-31T15:05:07Z DEBUG ytest2::checkpoint] applying checkpoint 0xb7dec00
[2024-01-31T15:05:10Z DEBUG ytest2::checkpoint] applying checkpoint 0x22b94800
[2024-01-31T15:05:12Z DEBUG ytest2::checkpoint] applying checkpoint 0x22b94800
[2024-01-31T15:05:14Z DEBUG ytest2::checkpoint] applying checkpoint 0x22b94800
[2024-01-31T15:05:16Z DEBUG ytest2::checkpoint] applying checkpoint 0x22b94800
[2024-01-31T15:05:18Z DEBUG ytest2::checkpoint] applying checkpoint 0x22bc3c00
[2024-01-31T15:05:20Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f90c00
[2024-01-31T15:05:23Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f90c00
[2024-01-31T15:05:24Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f90c00
[2024-01-31T15:05:26Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f91800
[2024-01-31T15:05:29Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f91800
[2024-01-31T15:05:32Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f92400
[2024-01-31T15:05:33Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f92400
[2024-01-31T15:05:34Z DEBUG ytest2::hooks] destructing checkpoint 0x23f92400
[2024-01-31T15:05:34Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f91800
[2024-01-31T15:05:36Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f91800
[2024-01-31T15:07:18Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f94800
[2024-01-31T15:07:22Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f96000
[2024-01-31T15:07:23Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f96000
[2024-01-31T15:07:24Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f96000
[2024-01-31T15:07:26Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f96c00
[2024-01-31T15:07:27Z DEBUG ytest2::hooks] destructing checkpoint 0x23f96c00
[2024-01-31T15:07:27Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f96000
[2024-01-31T15:07:28Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f96000
[2024-01-31T15:07:30Z DEBUG ytest2::checkpoint] applying checkpoint 0x23f96000
[2024-01-31T15:07:33Z DEBUG ytest2::checkpoint] applying checkpoint 0x22bc0c00
[2024-01-31T15:07:35Z DEBUG ytest2::checkpoint] applying checkpoint 0x22bc0c00
[2024-01-31T15:07:36Z DEBUG ytest2::checkpoint] applying checkpoint 0x22bc0c00
[2024-01-31T15:07:38Z DEBUG ytest2::checkpoint] applying checkpoint 0x22bc0c00
