[2024-02-01T19:40:09Z DEBUG ytest2] BASE /// GeometryDash.exe 0x470000
[2024-02-01T19:40:09Z DEBUG ytest2] BASE /// libcocos2d.dll 0x66c60000
[2024-02-01T19:40:09Z DEBUG ytest2] BASE /// libExtensions.dll 0x73840000
[2024-02-01T19:40:09Z DEBUG ytest2] BASE /// msvcr120.dll 0x67160000
[2024-02-01T19:40:09Z DEBUG ytest2] BASE /// zlib1.dll 0x5a4c0000
[2024-02-01T19:40:09Z DEBUG ytest2] BASE /// mimalloc.dll 0x734d0000
[2024-02-01T19:40:09Z DEBUG ytest2] BASE /// ybot.dll 0x660d0000
[2024-02-01T19:40:09Z DEBUG ytest2] yBot 2.1.30-stable
[2024-02-01T19:40:09Z INFO  ytest2::updater] checking for updates
[2024-02-01T19:40:09Z DEBUG reqwest::connect] starting new connection: https://ybot.store/
[2024-02-01T19:40:13Z INFO  ytest2::updater] updating
[2024-02-01T19:40:13Z INFO  ytest2::updater] yBot is up-to-date
[2024-02-01T19:40:16Z DEBUG egui_glow::painter] 
    opengl version: 4.6.0 - Build 30.0.101.1340
    opengl renderer: Intel(R) UHD Graphics 600
    opengl vendor: Intel
[2024-02-01T19:40:16Z DEBUG egui_glow::shader_version] Shader version: Gl140 ("4.60 - Build 30.0.101.1340").
[2024-02-01T19:40:16Z DEBUG egui_glow::painter] Shader header: "#version 140\n".
[2024-02-01T19:40:16Z DEBUG egui_glow::painter] SRGB texture Support: true
[2024-02-01T19:40:16Z DEBUG egui_glow::vao] GL version: "4.6.0 - Build 30.0.101.1340".
now playing "and-ever"
[2024-02-01T19:46:40Z DEBUG ytest2::hooks] entered level
[2024-02-01T19:46:43Z DEBUG ytest2::hooks::reset_level_orig] initializing level
[2024-02-01T19:47:18Z INFO  ytest2::hooks] exited level
[2024-02-01T19:51:28Z DEBUG ytest2::hooks] entered level
[2024-02-01T19:51:28Z DEBUG ytest2::hooks::reset_level_orig] initializing level
now recording "bloodbath-ierzi"
[2024-02-01T19:51:55Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d3ec00
[2024-02-01T19:51:57Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d3ec00
[2024-02-01T19:51:58Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d3ec00
[2024-02-01T19:52:05Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d3ec00
[2024-02-01T19:52:06Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d3ec00
[2024-02-01T19:52:07Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d3ec00
[2024-02-01T19:52:08Z DEBUG ytest2::checkpoint] applying checkpoint 0x4d3ec00
[2024-02-01T19:52:10Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaec800
[2024-02-01T19:52:11Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaec800
[2024-02-01T19:52:12Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaeb000
[2024-02-01T19:52:14Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaeb000
[2024-02-01T19:52:15Z DEBUG ytest2::hooks] destructing checkpoint 0x2aae9800
[2024-02-01T19:52:15Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaeb000
[2024-02-01T19:52:16Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaeb000
[2024-02-01T19:52:17Z DEBUG ytest2::hooks] destructing checkpoint 0x2aae9800
[2024-02-01T19:52:18Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaeb000
[2024-02-01T19:52:19Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aae9800
[2024-02-01T19:52:21Z DEBUG ytest2::hooks] destructing checkpoint 0x2aaea400
[2024-02-01T19:52:21Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aae8000
[2024-02-01T19:52:22Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aae8000
[2024-02-01T19:52:24Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aae8000
[2024-02-01T19:52:26Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaea400
[2024-02-01T19:52:27Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaea400
[2024-02-01T19:52:28Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaea400
[2024-02-01T19:52:30Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaed400
[2024-02-01T19:52:31Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaed400
[2024-02-01T19:52:34Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaed400
[2024-02-01T19:52:35Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaed400
[2024-02-01T19:52:36Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aae8c00
[2024-02-01T19:52:37Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aae8c00
[2024-02-01T19:52:38Z DEBUG ytest2::hooks] destructing checkpoint 0x2aae8c00
[2024-02-01T19:52:38Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaed400
[2024-02-01T19:52:39Z DEBUG ytest2::hooks] destructing checkpoint 0x2aae8c00
[2024-02-01T19:52:40Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaed400
[2024-02-01T19:52:42Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aae8c00
[2024-02-01T19:52:43Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aae8c00
[2024-02-01T19:52:45Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aae8c00
[2024-02-01T19:52:47Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aae8c00
[2024-02-01T19:52:49Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaebc00
[2024-02-01T19:52:50Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaebc00
[2024-02-01T19:52:51Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aaebc00
[2024-02-01T19:52:54Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:52:55Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:52:57Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:52:58Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:52:59Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:53:01Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:53:02Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:53:04Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:53:05Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:53:07Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:53:08Z DEBUG ytest2::checkpoint] applying checkpoint 0xaf7ec00
[2024-02-01T19:53:10Z DEBUG ytest2::checkpoint] applying checkpoint 0x2ab36c00
[2024-02-01T19:53:11Z DEBUG ytest2::checkpoint] applying checkpoint 0x2ab36c00
[2024-02-01T19:53:15Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac0c00
[2024-02-01T19:53:17Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac0c00
[2024-02-01T19:53:18Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac0c00
[2024-02-01T19:53:20Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac2400
[2024-02-01T19:53:21Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac2400
[2024-02-01T19:53:22Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac2400
[2024-02-01T19:53:25Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:27Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:28Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:29Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:30Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:32Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:34Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:35Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:36Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:37Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:38Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:40Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T19:53:41Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:22:49Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:22:50Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:22:52Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:22:53Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:22:54Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:22:56Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:22:57Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:22:59Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:23:00Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:23:02Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:23:03Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:23:04Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:23:05Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:23:06Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:23:08Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:23:10Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:23:11Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac5400
[2024-02-01T20:23:13Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac3000
[2024-02-01T20:23:14Z DEBUG ytest2::hooks] destructing checkpoint 0x2aac4800
[2024-02-01T20:23:14Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac3000
[2024-02-01T20:23:16Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac3000
[2024-02-01T20:23:17Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:19Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:21Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:22Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:23Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:24Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:26Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac6c00
[2024-02-01T20:23:27Z DEBUG ytest2::hooks] destructing checkpoint 0x2aac6c00
[2024-02-01T20:23:27Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:29Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:30Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:31Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:33Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:34Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:35Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:37Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:38Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:40Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:41Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac4800
[2024-02-01T20:23:43Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac6c00
[2024-02-01T20:23:44Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac6c00
[2024-02-01T20:23:46Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac6c00
[2024-02-01T20:23:48Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac6c00
[2024-02-01T20:23:49Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac6c00
[2024-02-01T20:23:51Z DEBUG ytest2::checkpoint] applying checkpoint 0x2aac6c00
