[2024-02-09T12:41:45Z DEBUG ytest2] BASE /// GeometryDash.exe 0x470000
[2024-02-09T12:41:45Z DEBUG ytest2] BASE /// libcocos2d.dll 0x66c60000
[2024-02-09T12:41:45Z DEBUG ytest2] BASE /// libExtensions.dll 0x73840000
[2024-02-09T12:41:45Z DEBUG ytest2] BASE /// msvcr120.dll 0x67160000
[2024-02-09T12:41:45Z DEBUG ytest2] BASE /// zlib1.dll 0x5a4c0000
[2024-02-09T12:41:45Z DEBUG ytest2] BASE /// mimalloc.dll 0x734d0000
[2024-02-09T12:41:45Z DEBUG ytest2] BASE /// ybot.dll 0x6b710000
[2024-02-09T12:41:45Z DEBUG ytest2] yBot 2.1.30-stable
[2024-02-09T12:41:45Z INFO  ytest2::updater] checking for updates
[2024-02-09T12:41:45Z DEBUG reqwest::connect] starting new connection: https://ybot.store/
[2024-02-09T12:41:46Z INFO  ytest2::updater] updating
[2024-02-09T12:41:46Z INFO  ytest2::updater] yBot is up-to-date
[2024-02-09T12:41:50Z DEBUG egui_glow::painter] 
    opengl version: 4.6.0 - Build 30.0.101.1340
    opengl renderer: Intel(R) UHD Graphics 600
    opengl vendor: Intel
[2024-02-09T12:41:50Z DEBUG egui_glow::shader_version] Shader version: Gl140 ("4.60 - Build 30.0.101.1340").
[2024-02-09T12:41:50Z DEBUG egui_glow::painter] Shader header: "#version 140\n".
[2024-02-09T12:41:50Z DEBUG egui_glow::painter] SRGB texture Support: true
[2024-02-09T12:41:50Z DEBUG egui_glow::vao] GL version: "4.6.0 - Build 30.0.101.1340".
now recording "dark-odyssey"
[2024-02-09T12:43:17Z DEBUG ytest2::hooks] entered level
[2024-02-09T12:43:22Z DEBUG ytest2::hooks::reset_level_orig] initializing level
[2024-02-09T12:43:37Z DEBUG ytest2::checkpoint] applying checkpoint 0xb780c00
[2024-02-09T12:43:40Z DEBUG ytest2::checkpoint] applying checkpoint 0xb780000
[2024-02-09T12:44:05Z DEBUG ytest2::checkpoint] applying checkpoint 0xb909800
[2024-02-09T12:44:07Z DEBUG ytest2::checkpoint] applying checkpoint 0xb909800
[2024-02-09T12:44:35Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c40000
[2024-02-09T12:44:37Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c40000
[2024-02-09T12:44:39Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c40000
[2024-02-09T12:44:40Z DEBUG ytest2::hooks] destructing checkpoint 0x15c40c00
[2024-02-09T12:44:40Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c40000
[2024-02-09T12:44:43Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c40c00
[2024-02-09T12:44:51Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c40c00
[2024-02-09T12:44:54Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c40c00
[2024-02-09T12:45:05Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c42400
[2024-02-09T12:45:09Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c43000
[2024-02-09T12:45:11Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c43000
[2024-02-09T12:45:11Z DEBUG ytest2::hooks] destructing checkpoint 0x15c43000
[2024-02-09T12:45:13Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c42400
[2024-02-09T12:45:20Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c43c00
[2024-02-09T12:45:29Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c45400
[2024-02-09T12:45:36Z DEBUG ytest2::checkpoint] applying checkpoint 0x15c46000
[2024-02-09T12:45:56Z DEBUG ytest2::checkpoint] applying checkpoint 0x15754800
[2024-02-09T12:45:59Z DEBUG ytest2::checkpoint] applying checkpoint 0x15754800
[2024-02-09T12:46:02Z DEBUG ytest2::checkpoint] applying checkpoint 0x15754800
